Nucleotide Frequencies
Sites Used: All selected
All frequencies are given in percent.
Domain: Data
                                           T(U)   C     A     G    Total  T-1   C-1   A-1   G-1  Pos #1  T-2   C-2   A-2   G-2  Pos #2  T-3   C-3   A-3   G-3  Pos #3 
MasturusLanceolatusCOX1 1509 bases         30.3  26.8  23.7  19.3  1509  22.5  22.1  24.7  30.8   503  40.8  25.8  17.9  15.5   503  27.6  32.4  28.4  11.5   503 
HomoSapiensCOX1 1509 bases                 26.7  30.0  27.0  16.2  1509  22.3  22.9  26.2  28.6   503  40.8  25.4  18.9  14.9   503  17.1  41.7  36.0   5.2   503 
BosTaurusCOX1 1509 bases                   29.6  25.3  28.5  16.6  1509  24.3  19.5  26.6  29.6   503  40.8  26.0  18.1  15.1   503  23.9  30.4  40.8   5.0   503 
BalaenopteraMusculusCOX1 1509 bases        29.2  26.2  28.4  16.2  1509  23.7  20.7  26.6  29.0   503  40.8  25.8  18.1  15.3   503  23.1  32.2  40.4   4.4   503 
PongoPygmaeusCOX1 1509 bases               27.3  29.9  26.6  16.2  1509  23.7  21.9  26.6  27.8   503  40.0  26.2  18.7  15.1   503  18.3  41.6  34.4   5.8   503 
PanTroglodytesCOX1 1509 bases              27.3  29.4  26.6  16.7  1509  22.5  22.7  25.8  29.0   503  40.6  25.6  18.9  14.9   503  18.9  40.0  35.0   6.2   503 
GallusGallusCOX1 1509 bases                25.7  31.3  27.2  15.8  1509  21.5  23.7  25.8  29.0   503  39.6  27.4  17.9  15.1   503  16.1  42.7  37.8   3.4   503 
AlligatorMississippiensisCOX1 1509 bases   27.1  28.6  28.6  15.8  1509  22.9  21.9  27.8  27.4   503  40.4  26.6  17.9  15.1   503  18.1  37.2  40.0   4.8   503 
Avg.                                       27.9  28.4  27.1  16.6  1509  22.9  21.9  26.3  28.9   503  40.4  26.1  18.3  15.1   503  20.4  37.3  36.6   5.8   503 


